generador, n_words, topics, npmi
T2V,15, 0, 0.09244034190283594
T2V,15, 1, 0.10078747080358812
LDA,15, 0, 0.15890132597682496
LDA,15, 1, 0.09436399775870281
LDA,15, 2, 0.08998975602848154
BERT,15, 0, 0.1943502187233022
BERT,15, 1, 0.1364347664110885
BERT,15, 2, 0.18149071097119165
BERT,15, 3, 0.30600018019649744
BERT,15, 4, 0.25905532391837854
BERT,15, 5, 0.22677915955373223
BERT,15, 6, 0.22647842533977028
BERT,15, 7, 0.36460126367324075
BERT,15, 8, 0.2536148418729506
BERT,15, -1, 0.43631701398881506
T2V,19, 0, 0.09580400267280284
T2V,19, 1, 0.09929240919795765
T2V,19, 2, 0.09637737198749197
LDA,19, 0, 0.1386985330920706
LDA,19, 1, 0.050632631788729225
LDA,19, 2, 0.04331838661950923
BERT,19, 0, 0.13074379692568905
BERT,19, 1, 0.15673269197949902
BERT,19, 2, 0.14093379446790563
BERT,19, 3, 0.29509069668944876
BERT,19, 4, 0.2882869607302465
BERT,19, 5, 0.1874963390062749
BERT,19, 6, 0.3670080388103006
BERT,19, 7, 0.25245627066705356
BERT,19, -1, 0.28224668940514797
T2V,24, 0, 0.09669223049103283
T2V,24, 1, 0.09306526118670234
LDA,24, 0, 0.1186888444641647
LDA,24, 1, 0.057954315383176525
LDA,24, 2, 0.05324981642781665
BERT,24, 0, 0.1685404929764255
BERT,24, 1, 0.1109183883501981
BERT,24, 2, 0.1740413560020077
BERT,24, 3, 0.30352513690628574
BERT,24, 4, 0.2870956105047924
BERT,24, 5, 0.17558670755167258
BERT,24, 6, 0.22499221258261576
BERT,24, 7, 0.2553605215313315
BERT,24, -1, 0.23382127116641083
T2V,50, 0, 0.07623043187152413
T2V,50, 1, 0.0752205291454479
T2V,50, 2, 0.08134427992435057
LDA,50, 0, 0.08233479891913811
LDA,50, 1, 0.08226195777978915
LDA,50, 2, 0.07703667389840316
BERT,50, 0, 0.19095668855150733
BERT,50, 1, 0.1247986917013421
BERT,50, 2, 0.17212612283714113
BERT,50, 3, 0.312841380896286
BERT,50, 4, 0.30751349953624824
BERT,50, 5, 0.1586269519244101
BERT,50, 6, 0.19532737731432576
BERT,50, 7, 0.21003892784415126
BERT,50, 8, 0.22513070192685536
BERT,50, -1, 0.1624514408862222




























